4962864,94
3204618,88
5393131,8
1836363,13
3088691,90
3460289,42
2043849,94
6399432,73
215506,83
2471503,68
220150,74
4160275,98
1807929,91
6654436,53
2851253,54
7014876,34
1693374,79
7314459,43
7713715,32
5958975,67
4963324,59
3205118,93
5393671,53
1836943,98
3089311,17
3460949,9
2044549,2
6400172,21
216286,71
2472323,96
221010,43
4161175,8
1808869,41
6655416,3
2852273,6
7015936,5
1694474,3
7315599,100
7714895,3
5960195,99
4964584,32
3206418,7
5395011,12
1838323,24
3090731,4
3462409,83
2046049,17
6401712,76
217866,67
2473943,44
222670,3
4162875,25
1810609,98
6657196,41
2854093,94
7017796,97
1696374,75
7317539,3
7716875,24
5962215,40
4966644,13
3208518,19
5397151,2
1840503,4
3092951,2
3464669,2
2048349,50
6404052,1
220246,71
2476363,77
225130,5
4165375,76
1813149,1
6659776,47
2856713,69
7020456,70
1699074,75
7320279,80
